ID,interest,knowledge,helped_learning,rating
0,7,1,6,4
1,3,7,4,2
2,5,3,3,5
3,5,4,6,7
4,2,6,5,4
5,5,3,5,4
6,6,6,3,3
7,7,2,4,6
8,3,7,2,4
9,3,5,6,5
10,6,7,3,2
11,6,7,6,7
12,5,3,6,3
13,6,1,6,4
14,4,3,1,5
15,2,5,5,3
16,1,4,5,3
17,2,1,6,7
18,7,2,6,4
19,4,6,5,4
20,1,3,3,1
21,4,3,3,1
22,4,3,5,1
23,1,5,2,7
24,4,4,2,5
25,6,2,3,4
26,4,3,2,6
27,3,2,6,7
28,7,3,3,2
29,6,6,6,3
30,6,4,7,3
31,3,4,1,2
32,7,7,1,3
33,5,6,5,2
34,1,2,2,1
35,2,7,1,3
36,4,2,6,6
37,5,1,1,7
38,7,7,4,1
39,3,2,7,3
40,7,1,2,2
41,3,2,2,3
42,7,6,4,3
43,4,7,1,4
44,6,3,4,4
45,3,4,5,3
46,3,4,7,7
47,4,3,2,1
48,7,3,4,3
49,7,5,7,2
50,3,6,4,6
51,5,7,6,2
52,3,2,7,3
53,6,4,1,1
54,1,6,2,7
55,1,6,4,6
56,2,1,3,7
57,5,3,2,7
58,6,1,5,1
59,5,5,5,4
60,7,6,4,6
61,1,7,5,4
62,4,5,3,7
63,7,6,2,3
64,5,4,3,3
65,3,2,5,6
66,6,2,3,3
67,3,1,2,4
68,4,5,6,6
69,6,7,2,6
70,3,7,2,1
71,5,3,7,3
72,7,7,3,4
73,3,1,1,6
74,5,1,4,5
75,5,1,3,3
76,7,2,6,3
77,7,7,2,2
78,5,3,6,6
79,7,6,7,3
80,1,6,5,5
81,1,1,4,2
82,5,2,5,3
83,3,3,3,3
84,5,4,4,1
85,7,1,3,3
86,2,2,3,6
87,3,6,3,1
88,2,3,1,7
89,4,4,6,4
90,7,4,7,4
91,1,1,2,7
92,6,1,3,2
93,5,2,6,4
94,4,1,7,5
95,6,2,6,7
96,6,7,2,6
97,1,2,7,7
98,3,5,2,7
99,7,7,3,6
