ID,interest,knowledge,helped_learning,rating
0,5,3,6,1
1,5,3,3,7
2,1,7,1,5
3,6,3,6,3
4,7,1,6,7
5,5,5,6,2
6,3,3,5,1
7,3,1,1,3
8,7,7,7,2
9,4,4,5,7
10,3,3,2,2
11,4,3,6,6
12,7,4,4,4
13,5,6,1,5
14,4,2,3,3
15,1,2,5,1
16,5,3,1,1
17,1,7,1,4
18,7,7,6,7
19,6,5,1,3
20,5,4,7,2
21,5,6,2,1
22,5,4,7,2
23,2,5,1,2
24,3,2,4,7
25,1,3,1,3
26,1,5,3,6
27,6,7,2,4
28,7,4,6,4
29,3,2,5,5
30,2,7,4,3
31,5,6,2,3
32,7,5,2,1
33,2,7,7,3
34,3,1,4,4
35,7,1,6,4
36,4,7,4,1
37,4,4,5,6
38,4,1,6,7
39,6,4,1,4
40,3,2,7,5
41,2,4,2,2
42,5,2,2,1
43,1,1,6,6
44,2,6,1,6
45,1,2,5,7
46,2,2,3,4
47,2,5,1,3
48,5,7,6,5
49,6,6,7,4
50,7,1,6,1
51,7,3,1,2
52,3,3,1,5
53,2,7,6,6
54,5,3,5,5
55,3,6,1,5
56,3,3,4,7
57,6,2,7,6
58,4,4,1,5
59,2,4,4,4
60,1,1,2,7
61,6,4,7,2
62,6,7,7,3
63,5,6,1,2
64,5,1,4,6
65,7,3,2,2
66,3,7,2,6
67,4,4,4,3
68,3,6,7,5
69,3,2,5,7
70,7,7,2,5
71,4,3,4,4
72,5,2,6,3
73,3,3,7,3
74,2,6,1,7
75,3,5,2,2
76,6,4,4,7
77,5,2,2,7
78,5,7,3,5
79,7,5,3,2
80,6,7,2,2
81,3,4,2,5
82,1,1,5,5
83,4,5,3,3
84,6,7,1,3
85,3,1,2,4
86,1,5,1,1
87,3,7,4,6
88,5,1,5,4
89,6,5,3,7
90,6,1,5,6
91,1,4,5,1
92,1,5,6,7
93,6,2,2,7
94,3,6,7,4
95,7,4,6,3
96,2,7,1,4
97,5,1,2,6
98,1,6,3,1
99,3,3,1,2
