ID,interest,knowledge,helped_learning,rating
0,4,1,6,4
1,4,4,7,4
2,4,6,3,3
3,5,4,3,2
4,3,4,6,3
5,4,5,5,4
6,7,3,7,5
7,7,4,3,6
8,5,3,4,3
9,3,6,4,3
10,3,4,2,3
11,5,3,3,1
12,5,5,6,5
13,3,3,7,6
14,6,1,7,3
15,1,3,5,6
16,4,3,4,5
17,4,4,4,4
18,2,2,3,6
19,3,3,2,3
20,3,5,5,7
21,3,5,6,2
22,3,4,6,3
23,5,5,7,4
24,4,5,3,4
25,2,3,2,6
26,3,4,2,7
27,4,2,4,2
28,6,3,7,4
29,2,4,3,4
30,1,4,2,4
31,6,3,2,2
32,4,5,6,6
33,3,5,3,3
34,5,4,1,1
35,4,3,6,3
36,6,6,6,2
37,1,4,3,3
38,2,4,4,4
39,2,4,3,5
40,2,6,5,4
41,4,4,1,4
42,6,2,6,7
43,3,6,2,7
44,2,1,4,4
45,6,5,4,3
46,1,5,3,4
47,4,4,5,2
48,6,5,6,4
49,6,2,4,7
50,2,1,5,7
51,3,5,5,4
52,4,5,5,4
53,1,7,3,6
54,3,7,4,6
55,6,5,5,4
56,3,2,4,5
57,6,3,2,3
58,4,2,5,4
59,3,4,4,1
60,5,4,3,7
61,3,6,1,5
62,3,4,2,3
63,1,7,4,1
64,6,4,5,4
65,4,6,3,6
66,5,5,3,5
67,4,5,5,4
68,3,5,2,6
69,1,4,5,6
70,2,4,1,3
71,5,2,4,4
72,3,6,2,3
73,6,6,5,5
74,5,2,4,3
75,7,6,5,2
76,4,4,6,2
77,5,4,2,5
78,5,3,6,4
79,6,5,4,4
80,6,4,4,4
81,6,4,4,3
82,7,2,4,7
83,5,2,1,4
84,2,3,4,4
85,3,2,5,7
86,3,2,2,5
87,5,6,6,1
88,2,4,7,4
89,1,3,5,1
90,4,7,7,1
91,2,4,3,5
92,5,4,4,6
93,4,7,6,3
94,6,4,6,6
95,3,4,6,1
96,3,1,3,4
97,6,6,4,5
98,3,4,5,4
99,5,4,6,6
100,5,7,3,3
101,7,5,6,3
102,3,4,1,3
103,6,3,1,4
104,6,4,5,3
105,3,2,6,4
106,4,5,2,4
107,3,6,2,2
