Date,day,time,stress
02032025,1,6,2
02032025,1,12,5
02032025,1,18,8
02032025,1,24,2
02042025,2,6,3
02042025,2,12,5
02042025,2,18,7
02042025,2,24,3
02052025,3,6,2
02052025,3,12,8
02052025,3,18,7
02052025,3,24,5
02062025,4,6,3
02062025,4,12,5
02062025,4,18,8
02062025,4,24,4
02072025,5,6,4
02072025,5,12,7
02072025,5,18,7
02072025,5,24,4
02082025,6,6,2
02082025,6,12,3
02082025,6,18,4
02082025,6,24,2
02092025,7,6,2
02092025,7,12,3
02092025,7,18,4
02092025,7,24,2
02102025,1,6,2
02102025,1,12,5
02102025,1,18,6
02102025,1,24,5
02112025,2,6,3
02112025,2,12,8
02112025,2,18,10
02112025,2,24,7
02122025,3,6,4
02122025,3,12,7
02122025,3,18,6
02122025,3,24,8
02132025,4,6,2
02132025,4,12,6
02132025,4,18,8
02132025,4,24,8
02142025,5,6,2
02142025,5,12,5
02142025,5,18,7
02142025,5,24,6
02152025,6,6,1
02152025,6,12,2
02152025,6,18,3
02152025,6,24,2
02162025,7,6,2
02162025,7,12,2
02162025,7,18,3
02162025,7,24,4
02172025,1,6,1
02172025,1,12,3
02172025,1,18,7
02172025,1,24,6
02182025,2,6,3
02182025,2,12,7
02182025,2,18,9
02182025,2,24,6
02192025,3,6,3
02192025,3,12,8
02192025,3,18,10
02192025,3,24,7
02202025,4,6,2
02202025,4,12,6
02202025,4,18,8
02202025,4,24,8
02212025,5,6,3
02212025,5,12,6
02212025,5,18,8
02212025,5,24,5
02222025,6,6,1
02222025,6,12,2
02222025,6,18,4
02222025,6,24,3
02232025,7,6,1
02232025,7,12,3
02232025,7,18,2
02232025,7,24,2
02242025,1,6,1
02242025,1,12,2
02242025,1,18,8
02242025,1,24,5
02252025,2,6,2
02252025,2,12,8
02252025,2,18,9
02252025,2,24,7
02262025,3,6,4
02262025,3,12,7
02262025,3,18,9
02262025,3,24,6
02272025,4,6,2
02272025,4,12,5
02272025,4,18,10
02272025,4,24,8
02282025,5,6,3
02282025,5,12,6
02282025,5,18,9
02282025,5,24,4
03012025,6,6,1
03012025,6,12,3
03012025,6,18,4
03012025,6,24,2
03022025,7,6,1
03022025,7,12,3
03022025,7,18,3
03022025,7,24,1
03032025,1,6,2
03032025,1,12,5
03032025,1,18,7
03032025,1,24,3
03042025,2,6,2
03042025,2,12,7
03042025,2,18,8
03042025,2,24,5
03052025,3,6,2
03052025,3,12,8
03052025,3,18,9
03052025,3,24,5
03062025,4,6,2
03062025,4,12,4
03062025,4,18,8
03062025,4,24,7
03072025,5,6,4
03072025,5,12,5
03072025,5,18,8
03072025,5,24,6
03082025,6,6,1
03082025,6,12,3
03032025,6,18,3
03082025,6,24,2
03092025,7,6,1
03092025,7,12,2
03092025,7,18,2
03092025,7,24,1
